Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
en bror,noun,medium,6.38863778,some,11,high,4,4,1,
en brud,noun,medium,6.6,some,12,high,4,4,1,
en brusk,noun,low,3.85,some,5,medium,5,5,1,
en bryggekant,noun,medium,6.434755671,no info,,,10,9,3,
en bue (våpen),noun,medium,6.47,many,21,medium,3,3,2,
en bukk (dyr),noun,medium,5.92,some,15,high,4,3,1,
en busk,noun,high,6.77,some,16,medium,4,4,1,
en buss,noun,high,6.769589631,many,19,medium,4,3,1,
en butikk,noun,medium,6.18529723,few,1,low,6,5,2,
en by,noun,medium,5.789951231,many,26,high,2,2,1,
en byggekloss,noun,medium,6.118675148,few,0,low,10,8,3,
en byste,noun,medium,5.61657625,some,18,high,5,5,2,
en campingplass,noun,high,6.829395619,few,0,low,12,10,3,
en campingvogn,noun,high,6.77,few,1,low,11,10,3,
en caps,noun,high,7.058811937,no info,,,4,4,1,
en cd-spiller,noun,medium,6.588413874,no info,,,10,7,4,
en cola,noun,high,6.645372765,no info,,,4,4,2,
en cowboy,noun,high,6.81,few,0,low,6,5,2,
en dåd,noun,low,2.942574941,some,13,high,3,3,1,
en dag,noun,low,3.90387079,some,17,high,3,3,1,
en dam,noun,medium,5.958441012,many,22,high,3,3,1,
en danser,noun,high,6.67,some,10,medium,6,6,2,
en datamaskin,noun,high,6.836544861,few,0,low,10,9,4,
en debatt,noun,medium,5.322605732,few,0,low,6,5,2,
en debut,noun,low,3.59153101,few,0,low,5,4,2,
en del,noun,low,3.547719435,some,16,high,3,3,1,
en dessert,noun,medium,6.455504651,few,0,low,7,5,2,
en detalj,noun,low,3.652352518,few,1,low,6,6,2,
en do,noun,high,6.804215606,many,29,high,2,2,1,
en doktor,noun,medium,6.17105973,few,1,low,6,6,2,
en dott,noun,medium,5.5,many,23,high,4,3,1,
en dress,noun,high,6.879273304,some,10,medium,5,4,1,
en drøm,noun,medium,4.674262407,some,6,medium,4,4,1,
en drue,noun,medium,6.285821196,some,11,medium,4,4,2,
en duk,noun,high,6.670037812,some,14,high,3,3,1,
en dumhet,noun,low,2.911686715,few,2,low,6,6,2,
en dusj,noun,high,6.7,some,11,medium,4,3,1,
en dusj (på badet),noun,high,6.71,some,11,medium,4,3,1,
en dyrehage,noun,medium,6.432211725,few,2,low,8,8,4,
en ed,noun,medium,4.535999352,many,19,high,2,2,1,
en edderkopp,noun,medium,6.383278127,few,0,low,9,7,3,
en effekt,noun,low,3.767678587,few,3,low,6,5,2,
en ekspert,noun,low,4.230045074,few,1,medium,7,6,2,
en eksplosjon,noun,medium,6.51,few,0,low,10,9,3,
en elefant,noun,high,7.182676234,few,0,low,7,7,3,
en elev,noun,medium,6.079395619,few,1,medium,4,4,2,
en elg,noun,high,6.987212053,some,10,medium,3,3,1,
en ende,noun,medium,5.036372118,many,31,high,4,3,2,
en engel,noun,medium,6.24547592,few,3,medium,5,4,2,
en ert,noun,high,6.913634108,some,15,high,3,2,1,
en etikett,noun,medium,6.150296059,few,0,low,7,6,3,
en evne,noun,low,2.745171564,some,12,medium,4,4,2,
en fabel,noun,low,3.964572511,some,5,medium,5,5,2,
en fange,noun,medium,6.3,many,20,high,5,4,2,
en fangst,noun,medium,5.394589631,few,2,medium,6,5,1,
en fare,noun,medium,4.856835907,many,26,high,4,4,2,
en farfar,noun,medium,6.39,few,0,low,6,6,2,
en farge,noun,medium,5.218720855,some,7,medium,5,5,2,
en fargeblyant,noun,high,6.8,few,0,low,11,11,4,
en fargestift,noun,medium,6.531545186,few,0,low,10,10,3,
en fase,noun,low,3.358984753,many,26,medium,4,4,2,
en feil,noun,low,3.219770047,many,21,medium,4,3,1,
en ferd,noun,low,3.925476604,some,7,medium,4,4,1,
en fest,noun,medium,6.324890804,some,18,high,4,4,1,
en festning,noun,medium,6.525372765,few,1,low,8,7,2,
en fetter,noun,medium,5.689423947,some,8,medium,6,5,2,
en figur,noun,medium,5.760496345,few,1,low,5,5,2,
en fil (verktøy),noun,high,6.66,many,21,high,3,3,1,
en film,noun,medium,5.9,few,2,low,4,4,1,
en finger,noun,high,6.914373029,some,4,high,6,5,2,
en fiolin,noun,high,6.924535503,few,0,low,6,6,3,
en fisk,noun,high,6.795170288,some,14,high,4,4,1,
en flik,noun,medium,4.84,some,13,high,4,4,1,
en flokk,noun,medium,6.01470669,some,15,medium,5,4,1,
en fødsel,noun,medium,6.48,few,2,low,6,6,2,
en forening,noun,low,4.243880855,few,1,low,8,7,3,
en forestilling,noun,medium,4.840664014,few,1,low,12,10,4,
en forestilling (idé),noun,low,3.26,few,1,low,12,10,4,
en forestilling (på teater),noun,medium,5.71,few,1,low,12,10,4,
en form,noun,medium,5.483319963,some,10,high,4,4,1,
en fortelling,noun,medium,5.428528677,few,1,low,10,7,3,
en fot,noun,high,6.699717019,many,22,high,3,3,1,
en frakk,noun,medium,6.445831093,some,14,high,5,4,1,
en frokost,noun,medium,6.28,few,0,low,7,7,2,
en frosk,noun,high,6.798675148,few,3,medium,5,5,1,
en frykt,noun,low,4.032511239,some,6,medium,5,5,1,
en fugl,noun,high,7.003830381,many,23,high,4,3,1,
en fyr,noun,medium,5.629044232,many,27,high,3,3,1,
en fyrstikk,noun,high,6.859051069,few,1,low,8,6,2,
en gåbil,noun,medium,5.755903324,no info,,,5,5,2,
en gaffel,noun,high,6.838258695,few,3,low,6,5,2,
en galning,noun,medium,5.313727964,few,0,low,7,6,2,
en garasje,noun,medium,6.531837611,few,3,medium,7,6,3,
en gård,noun,medium,6.369975217,many,20,high,4,3,1,
en gartner,noun,medium,5.996167912,few,1,low,7,6,2,
en gassledning,noun,medium,4.92,few,0,low,11,9,3,
en gåte,noun,low,3.364241626,some,17,high,4,4,2,
en gave,noun,medium,6.308522433,many,22,medium,4,4,2,
en genser,noun,high,6.695113128,few,3,low,6,6,2,
en girspak,noun,medium,6.29,no info,,,7,no info,no info,
en gitar,noun,high,6.726086545,few,1,low,5,5,2,
en gjeng,noun,medium,6.108866279,some,17,medium,5,3,1,
en gjest,noun,medium,4.780315501,some,17,high,5,4,1,
en gjøk,noun,medium,6.3,some,17,high,4,3,1,
en glede,noun,medium,4.838990567,some,9,medium,5,5,2,
en glidelås,noun,high,6.640615711,few,2,low,8,8,3,
en grad,noun,low,3.78,some,11,medium,4,4,1,
en gren,noun,medium,6.4,many,21,medium,4,4,1,
en grense,noun,medium,4.88,some,7,medium,6,6,2,
en gressklipper,noun,high,6.860860536,few,3,low,12,10,3,
en grill,noun,medium,6.57,some,10,medium,5,4,1,
en gris,noun,high,6.902452704,some,16,medium,4,4,1,
en grøde,noun,low,4.241339271,some,9,medium,5,5,2,
en grønnsak,noun,medium,6.100221503,few,2,low,8,7,2,
en grønnsakshage,noun,medium,6.289013202,no info,,,13,12,4,
en grunn,noun,low,3.333127415,some,12,medium,5,4,1,
en gud,noun,low,4.020165227,some,8,medium,3,3,1,
en gutt,noun,high,6.690009793,some,17,high,4,3,1,
en gyngestol,noun,high,6.94,few,0,low,9,8,3,
en hage,noun,high,6.740844573,many,22,high,4,4,2,
en hageflekk,noun,medium,6.035999352,no info,,,9,8,3,
en hagespade,noun,medium,6.333138562,no info,,,9,9,4,
en hai,noun,high,6.912055746,many,21,high,3,2,1,
en hale,noun,medium,6.40270739,many,31,high,4,4,2,
en hamburger,noun,medium,6.516679454,few,1,low,9,9,3,
en hammer,noun,high,6.93,many,22,medium,6,5,2,
en hane,noun,high,7.052241451,many,24,medium,4,4,2,
en hanske,noun,high,6.663054632,some,7,high,6,6,2,
en hatt,noun,high,6.95005506,many,31,high,4,3,1,
en haug,noun,medium,5.796410178,many,29,high,4,2,1,
en heis,noun,high,6.81,many,24,high,4,3,1,
en hekk,noun,high,6.834266038,many,28,high,4,3,1,
en helgen,noun,medium,4.687625007,some,6,medium,6,6,2,
en hest,noun,high,6.768390757,many,23,high,4,4,1,
en himmel,noun,high,6.916873859,few,0,low,6,5,2,
en historie,noun,medium,4.563935219,few,3,medium,8,8,4,
en hjerne,noun,medium,6.57511438,some,14,medium,6,4,2,
en hobby,noun,low,4.305911775,few,3,medium,5,4,2,
en hobbybonde,noun,low,3.640850823,no info,,,10,8,4,
en hoggestabbe,noun,medium,6.399182977,few,2,low,11,9,4,
en hogst,noun,medium,5.27,few,2,medium,5,5,1,
en hønsefugl,noun,medium,5.459342786,few,0,low,9,8,3,
en hoppbakke,noun,high,6.63,few,2,low,9,7,3,
en horisont,noun,medium,6.039108153,few,0,low,8,8,3,
en høst,noun,medium,5.745602477,some,8,medium,4,4,1,
en hovedstad,noun,medium,4.97,few,0,low,9,9,3,
en hummer,noun,medium,6.247005952,some,7,medium,6,5,2,
en hund,noun,high,6.928528677,many,19,high,4,3,1,
en hval,noun,medium,6.393421594,many,31,high,4,3,1,
en idé,noun,low,3.915932972,few,2,high,3,3,2,
en industri,noun,medium,4.7,few,0,low,8,8,3,
en innside,noun,medium,4.939963631,some,7,medium,7,5,3,
en innvandrer,noun,medium,5.52,few,2,medium,10,9,3,
en instruks,noun,low,4.139197973,few,0,low,8,8,2,
en is,noun,medium,6.53,many,25,high,2,2,1,
en jobb,noun,medium,5.182770968,some,11,medium,4,3,1,
en joggesko,noun,high,6.984665376,few,1,low,8,7,3,
en journalist,noun,medium,5.72,few,0,low,10,8,3,
en kaffe,noun,high,6.662194764,some,7,medium,5,4,2,
en kake,noun,high,6.68,many,24,medium,4,4,2,
en kål,noun,medium,6.5,some,16,high,3,3,1,
en kam,noun,high,6.709020298,many,25,high,3,3,1,
en kamel,noun,medium,6.476166875,few,2,low,5,5,2,
en kanin,noun,high,6.923189729,some,4,medium,5,5,2,
en kano,noun,high,6.77,few,3,high,4,4,2,
en kant,noun,medium,5.418473629,many,20,high,4,4,1,
en kar,noun,medium,5.923787593,many,27,high,3,3,1,
en karakter (på prestasjon),noun,medium,5.27,few,0,low,8,8,3,
en karriere,noun,low,3.768390757,few,3,medium,8,7,4,
en katt,noun,high,6.810009793,many,35,high,4,3,1,
en kattunge,noun,high,6.683792451,few,2,medium,8,6,3,
en kenguru,noun,high,6.987212053,few,0,low,7,7,3,
en kikkert,noun,high,6.721147355,few,3,medium,7,5,2,
en kilo,noun,medium,5.125372765,some,6,medium,4,4,2,
en kilometer,noun,low,4.24,few,0,low,9,9,4,
en kino,noun,medium,6.6,few,1,medium,4,4,2,
en kirke,noun,high,6.84,some,10,medium,5,5,2,
en kjeks,noun,medium,6.4163016,some,13,medium,5,4,1,
en kjeledress,noun,medium,6.456172303,few,1,low,10,8,3,
en kjelke,noun,medium,6.533145901,some,9,medium,6,5,2,
en kjeller,noun,medium,6.326496957,many,26,high,7,5,2,
en kjepp,noun,medium,6.329084954,some,14,medium,5,3,1,
en kjerne,noun,medium,5.172851757,some,15,high,6,4,2,
en kjetting,noun,high,6.66,few,1,low,8,5,2,
en kjøkkenhage,noun,medium,5.356046211,few,2,low,11,9,4,
en kjole,noun,medium,6.57425882,some,16,medium,5,4,2,
en klarinett,noun,medium,6.45,few,0,low,9,8,3,
en klausul,noun,low,3.385466997,few,0,low,7,6,2,
en klippe,noun,medium,6.226401505,many,19,medium,6,5,2,
en klovn,noun,medium,6.453612335,few,2,low,5,5,1,
en knapp,noun,medium,6.597566827,many,19,medium,5,4,1,
en kniv,noun,high,6.756932562,few,3,low,4,4,1,
en kø,noun,medium,6.45,many,19,medium,2,2,1,
en kokk,noun,medium,6.43,many,30,high,4,3,1,
en komfyr,noun,high,6.718258695,few,1,medium,6,6,2,
en komite,noun,medium,4.89,no info,,,6,no info,no info,
en kommode,noun,high,6.922210703,few,2,low,7,6,3,
en konsekvens,noun,low,3.17,few,1,medium,10,10,3,
en konsert,noun,medium,6.1,few,0,low,7,6,2,
en kontrakt,noun,medium,5.865282583,few,2,medium,8,8,2,
en kopp,noun,high,7.047210703,many,30,high,4,3,1,
en kornåker,noun,medium,6.49497302,no info,,,8,7,3,
en kost (å feie),noun,medium,6.438750744,some,8,medium,4,4,1,
en kost (å spise),noun,low,4.221358376,some,9,medium,4,4,1,
en kråkefugl,noun,medium,5.899448631,few,0,low,9,8,3,
en krakk,noun,high,6.737593562,many,22,medium,5,4,1,
en krangel,noun,medium,4.797210703,some,4,low,7,6,2,
en krig,noun,medium,6.074755671,some,5,medium,4,4,1,
en krokodille,noun,medium,6.597145512,few,3,low,10,9,4,
en kropp,noun,medium,6.54,some,10,medium,5,4,1,
en kurv,noun,high,6.617458843,some,9,low,4,4,1,
en kveld,noun,medium,5.519645136,some,9,high,5,4,1,
en kvern,noun,medium,5.85,few,2,medium,5,4,1,
en kvist (plante),noun,medium,6.42,some,9,medium,5,5,1,
en kylling,noun,high,6.794382504,few,2,medium,7,5,2,
en labyrint,noun,medium,6.345227186,few,0,low,8,8,3,
en lærer,noun,medium,6.373583928,many,23,high,5,5,2,
en landsby,noun,medium,6.147266772,few,0,low,7,6,2,
en lås,noun,medium,6.525569511,many,36,high,3,3,1,
en lastebil,noun,medium,6.421739666,few,0,low,8,8,3,
en låve,noun,high,6.84,many,27,high,4,4,2,
en leder,noun,medium,5.171145955,many,27,high,5,5,2,
en lege,noun,high,6.87982075,many,21,high,4,4,2,
en leir,noun,medium,6.532745645,many,20,medium,4,3,1,
en leke,noun,medium,6.47,many,25,high,4,4,2,
en lekeplass,noun,medium,6.57341895,few,1,low,9,8,3,
en lenke,noun,medium,5.860658755,many,19,high,5,5,2,
en leppestift,noun,high,6.762735995,few,1,low,10,9,3,
en lever,noun,medium,5.72,some,8,high,5,5,2,
en lighter,noun,high,6.917037804,some,4,medium,7,5,2,
en linjal,noun,high,6.64631662,few,0,low,6,6,2,
en løgn,noun,low,2.877849688,some,18,medium,4,3,1,
en løk,noun,medium,6.439313644,many,20,medium,3,3,1,
en løsning,noun,low,3.915170119,few,3,medium,7,6,2,
en lov,noun,medium,4.71,many,27,high,3,3,1,
en løve,noun,high,6.608741973,many,24,high,4,4,2,
en lur (sove),noun,medium,5.61,many,29,high,3,3,1,
en lykke,noun,low,3.306186384,some,17,medium,5,4,2,
en lyst,noun,low,3.841675442,some,16,high,4,4,1,
en mage,noun,medium,6.318708818,many,25,medium,4,4,2,
en maiskolbe,noun,high,6.654262474,few,2,low,9,8,3,
en makrell,noun,medium,6.246062286,few,0,low,7,6,2,
en mamma,noun,medium,6.416255978,some,10,medium,5,4,2,
en måne,noun,high,6.616081459,many,21,high,4,4,2,
en mann,noun,high,6.654123731,many,21,high,4,3,1,
en mast,noun,medium,6.195565121,some,18,high,4,4,1,
en matboks,noun,high,6.946720288,no info,,,7,7,2,
en måte,noun,low,2.387548939,many,29,high,4,4,2,
en maur,noun,medium,6.493224677,some,9,high,4,3,1,
en medisin,noun,medium,5.63,few,0,low,7,7,3,
en meisel,noun,medium,5.925945891,few,3,low,6,5,2,
en melon,noun,high,6.653350019,few,1,low,5,5,2,
en mening,noun,low,3.625535222,some,7,medium,6,5,2,
en metafor,noun,low,2.455043688,few,0,low,7,7,3,
en metarefleksjon,noun,low,2.370891981,no info,,,14,13,5,
en middag,noun,high,6.663059275,few,0,low,6,5,2,
en million,noun,medium,5.123165387,few,1,medium,7,6,3,
en mobil,noun,high,6.873103277,few,3,medium,5,5,2,
en møll,noun,medium,6.198864674,some,13,medium,4,3,1,
en monark,noun,medium,5.327995308,few,0,low,6,6,2,
en morfar,noun,medium,6.34,few,0,low,6,6,2,
en motorsykkel,noun,high,6.763191651,few,0,low,11,10,4,
en mulighet,noun,low,3.123787593,few,1,low,8,7,3,
en mulkt,noun,medium,4.98,many,19,medium,5,4,1,
en munn,noun,medium,6.568223224,many,21,high,4,3,1,
en mur,noun,high,6.64,many,25,high,3,3,1,
en murstein,noun,medium,6.5712338,few,0,low,8,7,2,
en mygg,noun,high,6.963694847,some,9,medium,4,3,1,
en nabo,noun,medium,5.57,few,0,low,4,4,2,
en nasjon,noun,medium,4.644942946,few,3,low,6,5,2,
en navle,noun,high,6.813378407,some,12,medium,5,5,2,
en nøkkel,noun,high,6.673789386,few,1,low,6,5,2,
en økning,noun,low,4.14,few,3,low,6,5,2,
en okse,noun,high,6.68573949,some,7,medium,4,4,2,
en øl,noun,high,6.659169661,some,12,high,2,2,1,
en oldefar,noun,medium,5.890971792,few,0,low,7,7,3,
en omgang,noun,low,3.806150851,few,2,medium,6,5,2,
en onkel,noun,medium,5.81033692,few,2,medium,5,5,2,
en oppdagelse,noun,low,3.794292415,few,3,medium,10,9,4,
en oppvaskmaskin,noun,high,7.028287295,few,0,low,13,11,4,
en ordfører,noun,medium,5.96,few,1,low,8,7,3,
en ordning,noun,low,2.833503122,few,1,low,7,6,2,
en ost,noun,high,6.877340347,some,9,medium,3,3,1,
en overall,noun,medium,5.8928103,few,1,low,7,6,3,
en overraskelse,noun,medium,4.640643543,few,2,medium,12,11,5,
en overtro,noun,low,3.5741677,few,3,low,7,6,3,
en ovn,noun,high,6.729164445,some,7,medium,3,3,1,
en pappa,noun,medium,5.947260249,many,19,medium,5,4,2,
en paraply,noun,high,7.22123772,few,0,low,7,7,3,
en park,noun,medium,6.432055746,some,14,medium,4,4,1,
en PC,noun,high,6.858361666,few,2,low,2,4,2,
en peis,noun,high,6.76,some,17,medium,4,3,1,
en penn,noun,high,6.932561966,many,23,high,4,3,1,
en pensel,noun,high,6.825282583,some,7,low,6,6,2,
en person,noun,medium,6.275266425,few,3,medium,6,5,2,
en pille,noun,medium,6.57,many,34,high,5,4,2,
en pingvin,noun,medium,6.576643054,few,0,low,7,6,2,
en pinne,noun,high,6.658324326,many,31,high,5,4,2,
en pirat,noun,high,6.746967441,few,3,low,5,5,2,
en pistol,noun,high,6.663738304,few,0,low,6,6,2,
en pizza,noun,high,6.924535503,few,0,low,5,5,2,
en plan,noun,medium,4.678997349,some,8,medium,4,4,1,
en planet,noun,high,6.749326035,few,2,medium,6,6,2,
en plankebit,noun,high,6.682922863,no info,,,9,9,3,
en plante,noun,medium,6.26826355,some,8,medium,6,6,2,
en plogfure,noun,medium,4.676772571,few,2,low,8,8,3,
en politimann,noun,high,6.61524019,few,1,low,10,9,4,
en ponni,noun,medium,6.383278127,some,4,low,5,4,2,
en port,noun,medium,6.397992722,some,10,high,4,3,1,
en pose,noun,high,6.610009793,many,22,medium,4,4,2,
en posisjon,noun,low,3.83,few,2,medium,8,7,3,
en positur,noun,medium,5.112493621,few,1,low,7,7,3,
en postmann,noun,medium,6.549882767,few,1,low,8,7,2,
en potet,noun,high,6.649015014,few,1,low,5,5,2,
en presang,noun,medium,6.377565582,few,0,low,7,6,2,
en president,noun,medium,6.07,few,1,low,9,9,3,
en prest,noun,high,6.756484424,some,12,medium,5,5,1,
en prinsesse,noun,medium,6.56,few,3,medium,9,8,3,
en professor,noun,medium,5.81,few,1,medium,9,8,3,
en propell,noun,medium,6.405751651,few,0,low,7,6,2,
en prost,noun,medium,5.02,some,4,medium,5,5,1,
en protest,noun,medium,5.070113128,few,1,low,7,7,2,
en pupp,noun,high,6.8,many,20,medium,4,3,1,
en pus,noun,medium,6.383900135,many,21,medium,3,3,1,
en pysjamas,noun,medium,6.593148671,no info,,,8,7,3,
en racket,noun,medium,6.086815227,few,2,low,6,5,2,
en rad,noun,medium,5.506548165,many,25,high,3,3,1,
en radio,noun,high,6.705204916,few,0,low,5,5,3,
en ransel,noun,high,6.79290929,few,1,low,6,6,2,
en ravn,noun,medium,6.503121923,some,10,medium,4,4,1,
en realitet,noun,low,2.778984574,few,0,low,8,8,4,
en regel,noun,low,3.344816589,few,1,low,5,5,2,
en regjering,noun,medium,5.43,few,1,medium,9,7,3,
en regnbue,noun,high,6.625054754,some,4,low,7,6,3,
en rekke,noun,medium,5.61,many,28,high,5,4,2,
en rekkert,noun,medium,5.996872138,no info,,,7,5,2,
en reklame,noun,medium,6.38048029,few,2,medium,7,7,3,
en religion,noun,low,4.23,few,0,low,8,8,4,
en retning,noun,medium,5.532340128,some,8,medium,7,6,2,
en rev,noun,high,6.75,many,29,high,3,3,1,
en revisor,noun,medium,5.51,few,0,low,7,7,3,
en ring,noun,high,6.67,many,24,high,4,3,1,
en rolle,noun,low,3.928949675,many,26,high,5,4,2,
en rosin,noun,medium,6.59765443,few,2,low,5,5,2,
en rot,noun,medium,6.4,many,27,high,3,3,1,
en rygg,noun,medium,6.39930729,some,15,medium,4,3,1,
en saga,noun,low,4.378461012,some,12,medium,4,4,2,
en sak,noun,low,3.423216085,many,28,high,3,3,1,
en saksofon,noun,medium,6.58,few,0,low,8,8,3,
en sal (rom),noun,medium,6.24,many,34,high,3,3,1,
en sal (til hest),noun,high,6.69,many,34,high,3,3,1,
en salami,noun,high,6.91,few,0,low,6,6,3,
en sandal,noun,high,6.801653189,few,2,low,6,6,2,
en sanger,noun,medium,5.98,some,17,high,6,5,2,
en sau,noun,high,6.990973538,many,26,high,3,2,1,
en sebra,noun,high,6.718258695,few,2,low,5,5,2,
en sekk,noun,medium,6.256960783,many,30,high,4,3,1,
en sekt,noun,medium,4.889164445,many,23,high,4,4,1,
en sekvens,noun,low,3.692417201,few,0,low,7,7,2,
en sel,noun,high,6.82,many,31,high,3,3,1,
en serie,noun,medium,4.694460278,some,4,medium,5,5,3,
en serviett,noun,medium,6.51038142,few,0,low,8,7,3,
en shorts,noun,high,6.8,few,0,low,6,4,1,
en sigarett,noun,high,6.96,few,0,low,8,7,3,
en sikkerhet,noun,low,2.767751954,few,1,low,9,8,3,
en sirkelbevegelse,noun,medium,5.576778652,no info,,,15,15,6,
en sitron,noun,high,6.790967183,few,0,low,6,6,2,
en situasjon,noun,low,3.213668063,few,0,low,9,8,4,
en sjanse,noun,low,2.955300775,some,4,medium,6,5,2,
en sjel,noun,low,3.711603413,many,23,high,4,3,1,
en sjiraff,noun,high,6.836157228,few,0,low,7,5,2,
en sjokolade,noun,high,6.890825307,few,2,low,9,8,4,
en skade,noun,medium,6.0234641,some,12,medium,5,5,2,
en skiftenøkkel,noun,high,6.74,few,0,low,12,10,4,
en skikk,noun,low,4.142166026,many,22,high,5,3,1,
en sko,noun,high,6.898599028,some,16,medium,3,3,1,
en skog,noun,high,6.831590195,some,7,medium,4,4,1,
en skole,noun,medium,6.288678397,some,11,medium,5,5,2,
en skrøpelighet,noun,low,3.690910538,no info,,,12,11,4,
en skuff,noun,high,6.698343349,some,5,medium,5,4,1,
en skurk,noun,medium,5.42,some,4,low,5,5,1,
en sky,noun,medium,6.480726718,many,26,high,3,2,1,
en skyskraper,noun,high,6.73,few,1,low,10,9,3,
en slange,noun,medium,6.568856475,some,15,medium,6,5,2,
en slikkepinne,noun,medium,5.823929029,no info,,,11,8,4,
en slutt,noun,low,3.995797146,some,12,medium,5,4,1,
en smokk,noun,high,6.640908851,some,5,low,5,4,1,
en snegle,noun,high,6.961976983,no info,,,6,5,2,
en snømann,noun,high,6.828444092,few,2,low,7,6,2,
en sofa,noun,high,6.709734162,some,4,medium,4,4,2,
en sokk,noun,high,6.878675148,many,24,high,4,3,1,
en soldat,noun,medium,6.6,few,0,low,6,6,2,
en sommer,noun,medium,6.063523697,some,13,high,6,5,2,
en sommerfugl,noun,high,6.861832513,few,0,low,10,8,3,
en sønn,noun,medium,5.913189927,many,19,high,4,3,1,
en sopp,noun,high,6.777825255,many,19,high,4,3,1,
en sorg,noun,low,3.8829287,some,9,medium,4,4,1,
en spade,noun,high,7.031494922,some,9,medium,5,4,2,
en spark,noun,medium,6.465521202,some,7,medium,5,5,1,
en spiker,noun,high,6.680551126,some,8,medium,6,6,2,
en squash,noun,high,6.716119143,few,0,low,6,5,1,
en stabel,noun,medium,5.86,some,5,medium,6,6,2,
en stadion,noun,medium,6.581373988,few,2,low,7,7,3,
en stær,noun,medium,5.689637282,some,11,high,4,4,1,
en staur,noun,medium,5.72277243,some,10,high,5,4,1,
en stav,noun,medium,6.338361373,many,19,medium,4,4,1,
en stein,noun,high,6.915559926,some,9,medium,5,4,1,
en steinhelle,noun,medium,6.167034425,no info,,,10,8,3,
en stigbøyle,noun,medium,6.26,few,2,low,9,8,3,
en stige,noun,high,6.789505636,some,9,medium,5,5,2,
en stokk,noun,medium,6.29290929,some,15,medium,5,4,1,
en stol,noun,medium,6.524995982,some,14,high,4,4,1,
en størrelse,noun,low,3.36386189,few,2,medium,9,8,3,
en støvel,noun,high,6.771873738,few,0,low,6,6,2,
en støvsuger,noun,high,6.896489618,some,4,low,9,9,3,
en straff,noun,low,4.217677383,some,5,medium,6,5,1,
en stråle,noun,medium,5.929215606,some,7,medium,6,6,2,
en strek,noun,high,6.7561082,some,13,medium,5,5,1,
en strikk,noun,high,6.788634108,some,9,medium,6,5,1,
en strofe,noun,low,3.989837716,few,3,low,6,6,2,
en struktur,noun,low,3.56,few,0,low,8,8,2,
en struts,noun,high,6.858361666,few,1,low,6,6,1,
en student,noun,medium,5.746967441,few,0,low,7,7,2,
en svømmehall,noun,high,6.8,few,0,low,10,8,3,
en sykepleier,noun,medium,6.095043324,some,4,medium,10,9,4,
en sykkel,noun,high,6.671410457,some,5,medium,6,5,2,
en tabbe,noun,low,4.119810937,many,26,medium,5,4,2,
en tallerken,noun,high,6.971480719,few,0,low,9,8,3,
en tang,noun,medium,6.54,many,30,high,4,3,1,
en tanke,noun,low,3.855726718,some,18,medium,5,5,2,
en tanks,noun,medium,6.163738304,few,3,medium,5,5,1,
en tannbørste,noun,high,7.196720288,few,2,low,10,8,3,
en teddybjørn,noun,high,6.96035212,few,0,low,10,8,3,
en tegneserie,noun,medium,6.556440643,few,2,medium,10,9,5,
en tegneseriefigur,noun,medium,6.178993863,no info,,,15,14,7,
en tegning,noun,medium,6.114544604,some,9,medium,7,5,2,
en teip,noun,high,6.730045074,some,11,medium,4,3,1,
en teknikk,noun,low,3.300622252,few,0,low,7,6,2,
en telefon,noun,high,6.691750853,few,0,low,7,7,3,
en tennisball,noun,high,6.726086545,few,0,low,10,8,3,
en teori,noun,low,4.277748548,few,0,low,5,5,3,
en terrasse,noun,medium,6.421742287,few,3,medium,8,6,3,
en terrorhandling,noun,medium,5.03,no info,,,14,no info,no info,
en tiger,noun,high,6.644597458,some,8,medium,5,5,2,
en tilgang,noun,low,2.9,few,1,low,7,6,2,
en tilpasning,noun,low,2.77,few,1,low,10,9,3,
en ting,noun,low,3.883076195,many,22,high,4,3,1,
en tiss,noun,medium,6.58,many,31,high,4,3,1,
en toast,noun,medium,6.371473569,few,0,low,5,5,2,
en tøffel,noun,medium,6.529889143,some,7,low,6,5,2,
en tomat,noun,medium,6.572422949,few,1,low,5,5,2,
en tone,noun,low,4.01,many,22,medium,4,4,2,
en topp,noun,medium,6.416214683,many,22,high,4,3,1,
en tørketrommel,noun,high,6.822525554,few,0,low,12,11,4,
en tråd,noun,medium,6.187332449,some,18,high,4,3,1,
en traktor,noun,high,6.733148431,few,0,low,7,7,2,
en trehjulssykkel,noun,high,6.756932562,few,0,low,14,11,4,
en trussel,noun,low,4.164572511,few,0,low,7,6,2,
en tur,noun,medium,5.02,many,26,high,3,3,1,
en tusj,noun,high,6.72,some,13,medium,4,3,1,
en tut,noun,medium,5.681867217,many,27,high,3,3,1,
en TV,noun,high,6.799406026,few,2,low,2,4,2,
en tyggegummi,noun,medium,6.436010344,few,0,low,10,8,4,
en type,noun,low,3.650489297,some,16,medium,4,4,2,
en ulv,noun,high,6.711976983,some,8,medium,3,3,1,
en unge,noun,medium,6.025225546,some,13,medium,4,3,2,
en utgave,noun,low,3.99491412,few,3,medium,6,6,3,
en utsikt,noun,medium,6.17,few,0,low,6,6,2,
en utvei,noun,medium,4.555052278,few,2,low,5,4,2,
en vaffel,noun,high,6.898361666,some,5,medium,6,5,2,
en valp,noun,high,6.732191885,some,11,medium,4,4,1,
