Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
forståelig,adjective,low,3.027421232,few,2,medium,10,8,4,
fort,adjective,medium,5.106874702,some,12,high,4,3,1,
fortvilelse,noun,medium,4.57033692,few,1,low,11,10,4,
forventning,noun,low,3.235585976,few,0,low,11,10,3,
foto,noun,medium,6.042297245,some,5,medium,4,4,2,
fraværende,adjective,low,4.154065225,few,1,low,10,9,4,
fred,noun,low,4.034751927,some,7,medium,4,4,1,
frekk,adjective,low,4.3,some,9,high,5,4,1,
fremtidig,adjective,low,2.38,few,2,medium,9,8,3,
frisk,adjective,low,4.04,some,10,medium,5,5,1,
frokostblanding,noun,medium,6.414768448,few,1,low,15,13,4,
frukt,noun,medium,6.561846573,some,7,medium,5,5,1,
frustrert,adjective,low,4.498662742,few,2,medium,9,8,2,
frykt,noun,low,3.91982075,some,6,medium,5,5,1,
full,adjective,medium,5.969588514,many,22,high,4,3,1,
fullstendig,adjective,low,3.48780493,few,1,medium,11,9,3,
fusk,noun,low,4.374235383,some,13,medium,4,4,1,
gående,adjective,medium,5.632159753,many,19,medium,6,5,3,
gammel,adjective,medium,5.711539491,some,5,medium,6,5,2,
gammeldags,adjective,low,4.136862011,few,2,low,10,9,3,
garn,noun,high,6.64,some,12,high,4,3,1,
gele,noun,medium,6.439314393,no info,,,4,4,2,
gin,noun,medium,5.651280763,some,12,high,3,3,1,
gips,noun,medium,6.12,some,8,high,4,4,1,
gjær,noun,medium,6.47,many,24,high,4,3,1,
gjeld,noun,low,4.12513842,many,29,high,5,3,1,
glad,adjective,medium,5.947308827,some,14,high,4,3,1,
god,adjective,low,3.680992189,many,20,high,3,2,1,
godteri,noun,medium,6.438286861,few,3,low,7,6,3,
godvenner,noun,low,4.472775491,few,1,medium,9,7,3,
gøy,adjective,medium,4.53,some,17,high,3,2,1,
gras,noun,medium,6.578399675,many,19,medium,4,4,1,
grei,adjective,low,3.312047568,some,17,medium,4,3,1,
gress,noun,medium,6.405751651,some,16,medium,5,4,1,
grisk,adjective,low,4.115100158,some,9,medium,5,5,1,
grønn,adjective,medium,6.481880882,some,12,high,5,4,1,
grøt,noun,high,6.817601365,some,12,medium,4,4,1,
gul,adjective,high,6.755985882,many,21,high,3,3,1,
gunst,noun,low,2.54,few,3,medium,5,5,1,
hår,noun,high,6.674755671,many,30,high,3,3,1,
hard,adjective,medium,4.694696282,many,27,high,4,3,1,
hel,adjective,low,3.791651105,many,25,high,3,3,1,
hell,noun,low,3.155968779,many,33,high,4,3,1,
herlig,adjective,low,3.538123071,some,5,medium,6,4,2,
hjelp,noun,low,3.697419664,some,10,medium,5,4,1,
hjemlig,adjective,low,3.831113963,some,4,medium,7,5,2,
hjemmekoselig,adjective,medium,5.438252045,few,1,low,13,10,5,
hjemmeværende,adjective,medium,4.781832513,few,0,low,13,10,5,
honning,noun,high,6.96387737,few,2,low,7,5,2,
høns,noun,medium,6.288678397,some,7,high,4,4,1,
horisontal,adjective,medium,5.654755278,few,2,medium,10,10,4,
høy,adjective,medium,5.93,many,29,high,3,2,1,
høyre,adjective,medium,5.69692392,few,3,medium,5,4,2,
humor,noun,low,3.937603655,few,0,low,5,5,2,
humør,noun,low,4.023523697,few,1,medium,5,5,2,
humoristisk,adjective,low,3.966071685,few,1,low,11,11,4,
hverdag,noun,low,4.18,few,1,low,7,5,2,
hvete,noun,medium,6.158675148,many,23,medium,5,4,2,
hvit,adjective,medium,6.485733801,many,30,high,4,3,1,
hyggelig,adjective,medium,4.893828506,few,1,medium,8,6,3,
idyllisk,adjective,medium,5.124626071,few,1,low,8,7,3,
interessert,adjective,low,3.903523697,few,2,medium,11,9,4,
irritert,adjective,medium,4.857427924,some,5,medium,8,6,3,
jævlig,adjective,low,3.72066053,few,3,medium,6,5,2,
jakt,noun,medium,5.452852808,some,16,high,4,4,1,
jevnaldrende,adjective,medium,4.977261988,few,0,low,12,11,4,
jordbruk,noun,medium,5.615844573,few,2,medium,8,7,2,
juice,noun,high,6.67673409,many,21,high,5,3,1,
juling,noun,medium,5.635364597,few,3,low,6,5,2,
kaffe,noun,high,6.83540347,some,7,medium,5,4,2,
kakao,noun,high,6.736005814,few,0,low,5,5,3,
kald,adjective,medium,4.984809034,many,33,high,4,3,1,
karse,noun,medium,5.576643372,some,18,high,5,4,2,
kjærlighet,noun,low,4.38,few,3,medium,10,7,3,
kjedelig,adjective,low,4.134495567,some,4,medium,8,6,3,
kjemi,noun,medium,4.512651378,few,1,low,5,4,2,
kjempeirritert,adjective,medium,5.294082907,no info,,,14,12,5,
kjent,adjective,low,2.944342754,some,15,medium,5,4,1,
kjøtt,noun,medium,6.211478016,some,14,high,5,3,1,
klær,noun,medium,6.052241451,some,10,medium,4,4,1,
klar,adjective,low,4.137031559,many,19,high,4,4,1,
klissete,adjective,medium,5.97867087,some,13,low,8,7,3,
kontanter,noun,medium,6.475225546,some,4,medium,9,9,3,
kontroll,noun,low,4.200884405,few,0,low,8,7,2,
korn,noun,medium,6.223623964,some,12,medium,4,3,1,
kortermet,adjective,medium,6.353228639,few,1,low,9,8,3,
kortklipt,adjective,medium,6.199177906,no info,,,9,8,2,
koselig,adjective,medium,4.876467331,few,1,medium,7,5,2,
krøllete,adjective,medium,6.00364365,some,8,low,8,7,3,
kulturell,adjective,low,3.88,few,2,medium,9,8,3,
kvalitet,noun,low,3.838762302,few,0,low,8,8,3,
kveldsmat,noun,medium,6.21,few,0,low,9,8,2,
landbruk,noun,medium,5.74,few,2,medium,8,7,2,
lang,adjective,medium,5.505388178,many,26,high,4,3,1,
langsom,adjective,medium,4.723623964,few,2,medium,7,6,2,
lego,noun,high,6.765963707,no info,,,4,4,2,
lei seg,adjective,medium,5.54,no info,,,7,no info,no info,
lenge,adjective,low,3.450004525,many,26,high,5,4,2,
leverpostei,noun,high,6.86,few,0,low,11,10,4,
lilla,adjective,medium,6.438675148,some,4,medium,5,4,2,
lim,noun,medium,5.810895991,many,21,high,3,3,1,
liten,adjective,low,4.185210774,some,16,high,5,5,2,
litteratur,noun,medium,5.66,few,0,low,10,9,4,
livlig,adjective,medium,4.883763777,few,2,low,6,5,2,
luft,noun,medium,5.197250814,some,10,medium,4,4,1,
lunger,noun,medium,6.23,some,16,medium,6,5,2,
lunsj,noun,medium,6.18,some,4,medium,5,4,1,
lur (snedig),adjective,low,3.77,many,29,high,3,3,1,
lykke,noun,low,4.243671265,some,17,medium,5,4,2,
lykkelig,adjective,medium,5.043051579,few,1,medium,8,6,3,
lyng,noun,medium,6.41,some,12,medium,4,3,1,
mais,noun,high,6.882166444,some,9,medium,4,3,1,
makt,noun,low,4.43583924,some,17,high,4,4,1,
manuell,adjective,low,3.988706901,few,3,medium,7,6,3,
margarin,noun,medium,6.53242242,few,0,low,8,8,3,
marmor,noun,medium,6.217831928,few,1,low,6,6,2,
mat,noun,medium,6.027421232,many,25,high,3,3,1,
medfølelse,noun,medium,4.723461006,few,2,low,10,9,4,
medlidenhet,noun,low,3.91013962,few,1,low,11,11,4,
mel,noun,high,6.63,many,27,high,3,3,1,
melk,noun,medium,6.443425567,some,6,medium,4,4,1,
merkelig,adjective,low,3.443545799,few,1,medium,8,7,3,
misunnelse,noun,low,3.671590195,few,2,low,10,9,4,
