Word,English translation,Word class,Imageability (level),Imageability,Subjective AoA (level),Subjective AoA,Usage frequency (level),Usage frequency,Usage frequency per million words,No. phonological neighbours (level),No. phonological neighbours,Phonological neighbourhood density (level),Phonological neighbourhood density,Phonological neighbours,No. letters,No. sounds,No. syllables,Derivation?,Compound?,First sound fricative?,Starts in consonant cluster?,Grammatical gender,Mainly used in plural?,Mass noun?,Valency,Transitivity,Multi-word phrase?
å sjanse,to take a chance,verb,low,2.757683875,late,8.285714286,medium,3391,4.844285714,no info,,,,no info,6,5,2,FALSE,FALSE,TRUE,FALSE,,,,1,intransitive,FALSE
å skade,to damage/to hurt/to injure,verb,medium,5.352923494,medium,4.846153846,high,43770,62.52857143,some,12,medium,136452,"skape (99), skader (46), skadet (30), skaden (8), skadde (3), skades (1), skada (1), skate (1), skare (1), skage (<1), skake (<1), skave (<1)",5,5,2,FALSE,FALSE,TRUE,TRUE,,,,2,transitive,FALSE
å skamme seg,,verb,low,4.25,,,low,1737,2.481428571,no info,,,,no info,10,no info,no info,,,,,,,,,,TRUE
å skape,to create,verb,low,3.943409561,medium,7.2,high,163520,233.6,some,13,medium,118267,"skaper (66), skade (51), skapte (26), skapes (11), skapet (8), skrape (2), skate (1), skare (1), skapa (<1), skage (<1), skake (<1), skave (<1)",5,5,2,FALSE,FALSE,TRUE,TRUE,,,,2,alternating,FALSE
å skille,to separate,verb,medium,4.554793409,medium,6.642857143,high,49520,70.74285714,many,27,high,534701,"ville (536), lille (112), skiller (33), ille (28), skilte (9), skilles (7), skylde (6), skillet (6), milde (5), skisse (3), gilde (2), skinne (2), pille (1), skylle (1), mille (1), skjelle (1), bille (<1), gildet (<1), fille (<1), dille (<1), rille (<1), skikke (<1), kille (<1), silde (<1), skilla (<1), skjolde (<1), skimle (<1), chice (<1), skiple (<1), skitte (<1)",6,4,2,FALSE,FALSE,TRUE,FALSE,,,,2,transitive,FALSE
å skjære,to cut/to slice,verb,medium,6.259685392,medium,4.642857143,medium,10295,14.70714286,many,20,high,1492249,"være (1895), lære (105), kjære (41), ære (20), bære (20), nære (19), gjerdet (6), gjerde (5), skjærer (5), sære (3), skjøre (1), skjæres (1), pære (1), gjære (<1), tjære (<1), skjæret (<1), tære (<1), skjæra (<1), læret (<1), skjæren (<1), ferde (<1), skire (<1)",6,4,2,FALSE,FALSE,TRUE,FALSE,,,,2,transitive,FALSE
å skjære ut,to carve,verb,medium,5.15531649,medium,6.068965517,low,733,1.047142857,no info,,,,no info,9,7,3,FALSE,FALSE,TRUE,FALSE,,,,2,transitive,TRUE
å skje,to happen,verb,low,3.569810937,medium,5,high,287869,411.2414286,many,31,high,21304900,"det (16712), med (9528), ved (1598), se (1032), ned (527), re (360), skjer (198), be (133), he (76), le (38), te (36), sju (30), ski (27), sjef (25), ve (17), sjel (14), v. (13), sky (11), ne (11), sjå (10), sjø (9), skeid (6), fe (3), skei (3), kje (3), skjev (2), skjel (<1), sjau (<1), sjy (<1), sjah (<1), skjea (<1), skjen (<1), skjes (<1), skjå (<1)",4,2,1,FALSE,FALSE,TRUE,FALSE,,,,1,intransitive,FALSE
å skjenne,to scold,verb,medium,4.800476604,medium,6.833333333,low,189,0.27,many,30,high,1533932,"denne (1559), henne (244), sende (89), skjedde (70), sjekke (45), kjenne (41), ende (31), hende (27), skjønne (22), sjeldne (14), vende (11), sjette (9), venne (4), renne (4), tenne (4), dennes (2), skinne (2), skynde (1), skjelle (1), skjelne (<1), lende (<1), skjemme (<1), penne (<1), skjendet (<1), skjenner (<1), skjente (<1), lendet (<1), bende (<1), skjeppe (<1), skjene (<1), nenne (<1), skjender (<1), kjennet (<1), skjendes (<1), hendet (<1), skjennes (<1), skjennet (<1), skjebbe (<1), skjenda (<1)",7,4,2,FALSE,FALSE,TRUE,FALSE,,,,1,intransitive,FALSE
å skjønne,to understand/to comprehend,verb,low,3.667668406,medium,5.714285714,high,83572,119.3885714,some,15,medium,90982,"skjønner (93), skjønte (21), lønne (7), tønne (2), skinne (2), skynde (1), rønne (<1), skjønnet (<1), skjøtte (<1), bønne (<1), skjenne (<1), skjørte (<1), skjende (<1), uskjønne (<1), skjønnes (<1), dønne (<1), shunte (<1)",7,4,2,FALSE,FALSE,TRUE,FALSE,,,,2,transitive,FALSE
